question_id,question,answer,source_id
25,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
26,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
27,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
28,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
29,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
30,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
31,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
32,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
33,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
34,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
35,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
36,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
37,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
38,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
39,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
40,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
41,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
42,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
43,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
44,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
45,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
46,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
47,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
48,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
49,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
50,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
51,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
52,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
53,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
54,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
55,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
56,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
57,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
58,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
59,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
60,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
61,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
62,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
63,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
64,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
65,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
66,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
67,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
68,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
69,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
70,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
71,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
72,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
73,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
74,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
75,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
76,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
77,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
78,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
79,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
80,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
81,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
82,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
83,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
84,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
85,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
86,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
87,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
88,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
89,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
90,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
91,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
92,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
93,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
94,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
95,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
96,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
97,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
98,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
99,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
100,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
101,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
102,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
103,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
104,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
105,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
106,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
107,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
108,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
109,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
110,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
111,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
112,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
113,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
114,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
115,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
116,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
117,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
118,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
119,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
120,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
121,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
122,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
123,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
124,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
125,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
126,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
127,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
128,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
129,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
130,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
131,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
132,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
133,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
134,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
135,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
136,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
137,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
138,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
139,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
140,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
141,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
142,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
143,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
144,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
145,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
146,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
147,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
148,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
149,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
150,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
151,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
152,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
153,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
154,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
155,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
156,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
157,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
158,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
159,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
160,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
161,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
162,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
163,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
164,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
165,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
166,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
167,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
168,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
169,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
170,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
171,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
172,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
173,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
174,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
175,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
176,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
177,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
